lat,lng,site_name,dev_stat,label,status,lith,b_age,t_age,unit_name,map_source
33.75014,-84.94993,A. C. Watkins Prospect,Occurrence,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.68398,-84.88982,Keaten-Thomas Prospect,Occurrence,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.91682,-83.58319,Tom Coward Gap Prospect,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,1000.0,485.4,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7
33.77934,-82.56426,Seminole/Magruder/Wardlaw/Jackson Veins,Past Producer,1,OK,volcanic: felsic rocks,541.0,485.4,Cambrian volcanic: felsic rocks,7
34.31183,-84.26661,Franklin-Creighton Mine,Past Producer,1,OK,sedimentary,1000.0,541.0,Neoproterozoic sedimentary,7
33.65014,-85.08324,Reeds Mountain,Past Producer,1,OK,sedimentary rocks,541.0,251.902,Paleozoic sedimentary rocks,154
34.81872,-83.30208,Henckel Mine,Unknown,1,OK,"Major:{biotite gneiss}, Minor:{amphibolite,mica schist}",1000.0,541.0,"Tallulah Falls Formation, gneiss and schist",133
33.63074,-82.99158,Mitchell Hill Prospect,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
33.81124,-83.04158,Buffalo,Past Producer,1,OK,mudstone-carbonate-sandstone-conglomerate,541.0,485.4,Paleozoic sedimentary and volcanic rocks,154
33.80014,-83.01658,Morgan Mine (Arnold Prospect),Past Producer,1,OK,intrusive igneous rocks,443.8,358.9,Paleozoic intrusive rocks,154
33.74184,-83.09158,Briscoe Mine (Drake Mine),Past Producer,1,OK,intrusive igneous rocks,443.8,358.9,Paleozoic intrusive rocks,154
33.61684,-82.56516,Columbia Mine,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,541.0,251.902,Paleozoic crystalline metamorphic rocks,154
34.11123,-84.10821,Settles Property,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.21683,-84.24711,W.T. Fowler Placer,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.06123,-84.15551,Little Property,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
34.24453,-84.13321,Sawnee Mt.,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.73344,-84.96663,Hixon,Past Producer,1,OK,sedimentary rocks,541.0,251.902,Paleozoic sedimentary rocks,154
33.70014,-84.96663,J.L.Davis Property,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
33.70954,-85.28184,Hollins (Royal) Mine,Past Producer,1,OK,sedimentary rocks,541.0,251.902,Paleozoic sedimentary rocks,154
33.75014,-84.93603,Chambers Mine,Past Producer,1,OK,sedimentary,1000.0,485.4,Neoproterozoic-Cambrian sedimentary,7
