lat,lng,site_name,dev_stat,label,status,lith,unit_name,map_source,n_mrds_records,age_span,b_age,t_age,age_mid,lith_metamorphic,lith_plutonic,lith_volcanic,lith_sedimentary,lith_unconsolidated,lith_schist,lith_gneiss,lith_quartz,lith_mafic,lith_felsic
34.49202,-83.9821,Calhoun Mine,Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.41403,-84.09991,Missing Link Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,6,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.42513,-84.06241,Palmour,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,8,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.86682,-84.35551,Hackney Placer,Past Producer,1,OK,sedimentary,Cambrian-Ordovician sedimentary,7,1,97.19999999999999,541.0,443.8,492.4,0,0,0,1,0,0,0,0,0,0
34.46433,-84.03381,Josephine Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.77574,-82.56296,Magruder Mine,Past Producer,1,OK,volcanic: felsic rocks,Cambrian volcanic: felsic rocks,7,1,55.60000000000002,541.0,485.4,513.2,0,0,1,0,0,0,0,0,0,1
34.27703,-84.40162,Lot 208 Shaft,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.27593,-84.39572,Latham Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.53482,-83.9724,Free Jim Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.48482,-84.02431,Whim Hill Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.61544,-82.56706,Columbia Gold Mine,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
34.52652,-84.0127,Gordon Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.20703,-84.37772,Rudicil Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.47343,-84.53772,Betz Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.09293,-84.05631,Level Creek Gold Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.05403,-84.65462,House Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.19233,-84.53572,Coggins Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.09593,-84.59572,Old Bell Cut,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,4,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.73342,-84.22071,Noontootly Creek,Past Producer,1,OK,sedimentary rocks,Neoproterozoic sedimentary rocks,154,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.91682,-83.58319,Tom Coward Gap Prospect,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.77934,-82.56426,Seminole/Magruder/Wardlaw/Jackson Veins,Past Producer,1,OK,volcanic: felsic rocks,Cambrian volcanic: felsic rocks,7,1,55.60000000000002,541.0,485.4,513.2,0,0,1,0,0,0,0,0,0,1
34.31183,-84.26661,Franklin-Creighton Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
33.65014,-85.08324,Reeds Mountain,Past Producer,1,OK,sedimentary rocks,Paleozoic sedimentary rocks,154,1,289.098,541.0,251.902,396.451,0,0,0,1,0,0,0,0,0,0
33.63074,-82.99158,Mitchell Hill Prospect,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
33.81124,-83.04158,Buffalo,Past Producer,1,OK,mudstone-carbonate-sandstone-conglomerate,Paleozoic sedimentary and volcanic rocks,154,1,55.60000000000002,541.0,485.4,513.2,0,0,0,1,0,0,0,0,0,0
33.80014,-83.01658,Morgan Mine (Arnold Prospect),Past Producer,1,OK,intrusive igneous rocks,Paleozoic intrusive rocks,154,1,84.90000000000003,443.8,358.9,401.35,0,1,0,0,0,0,0,0,0,0
33.74184,-83.09158,Briscoe Mine (Drake Mine),Past Producer,1,OK,intrusive igneous rocks,Paleozoic intrusive rocks,154,1,84.90000000000003,443.8,358.9,401.35,0,1,0,0,0,0,0,0,0,0
33.61684,-82.56516,Columbia Mine,Past Producer,1,OK,felsic paragneiss; paragneiss/metavolcanic gneiss,Paleozoic crystalline metamorphic rocks,154,1,289.098,541.0,251.902,396.451,1,0,1,0,0,0,1,0,0,1
34.11123,-84.10821,Settles Property,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.21683,-84.24711,W.T. Fowler Placer,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.06123,-84.15551,Little Property,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.37233,-84.14301,Kim Mori Mines,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.17703,-84.36302,T.N.Westbrook's,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.25843,-84.35962,Latham (Chester),Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,3,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.08903,-84.73603,J.J.Howard,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.10983,-84.65822,Georgiana Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,4,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.11683,-84.68053,Allatoona Vein,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,2,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.13343,-84.52492,M.D. Smith,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.15903,-84.45962,Worley Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.38483,-84.33181,Burty No.1,Past Producer,1,OK,sedimentary rocks,Neoproterozoic sedimentary rocks,154,2,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.12373,-84.36662,Chester (Turner) Prospect,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.11823,-84.58052,Bell-Star,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,3,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.18763,-84.55492,Cherokee Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,6,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.01404,-84.86383,Sheffield & Heidt Property,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,3,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
34.26403,-84.33051,Sandow Mine,Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.04454,-84.83463,Dunaway Mine,Past Producer,1,OK,sedimentary,Silurian-Devonian sedimentary,7,2,84.90000000000003,443.8,358.9,401.35,0,0,0,1,0,0,0,0,0,0
34.53122,-84.0041,Tahloneka Branch (Winfield Branch),Past Producer,1,OK,sedimentary,Neoproterozoic sedimentary,7,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
34.71122,-84.20551,Mccloud Mine,Past Producer,1,OK,sedimentary rocks,Neoproterozoic sedimentary rocks,154,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
33.85014,-85.07354,No Name,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.79934,-85.11664,No Name,Past Producer,1,OK,plutonic: undivided granitic rocks,Cambrian-Ordovician plutonic: undivided granitic rocks,7,1,97.19999999999999,541.0,443.8,492.4,0,1,0,0,0,0,0,0,0,1
33.81324,-85.18604,No Name,Past Producer,1,OK,volcanic: mafic rocks,Devonian volcanic: mafic rocks,7,1,60.30000000000001,419.2,358.9,389.04999999999995,0,0,1,0,0,0,0,0,1,0
33.84734,-84.78183,No Name,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.98764,-84.90823,No Name,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.91684,-84.96743,Yorkville Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.96544,-84.90553,Schofield Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.87954,-85.02214,Mcgarrity Prospect,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.55015,-85.01664,Stacy Mine,Past Producer,1,OK,sedimentary rocks,Neoproterozoic sedimentary rocks,154,1,459.0,1000.0,541.0,770.5,0,0,0,1,0,0,0,0,0,0
33.25015,-84.73323,Bingham Property,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,1,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
33.45015,-84.98324,Clark and Hill Properties,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.43075,-85.00824,Hardagree Property,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.95014,-84.73323,Mason Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.97234,-84.69163,J.B.Kemp's Property (Hathaway Property),Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,1,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
33.21075,-84.81383,Lone Oak/Post/Wilkes,Past Producer,1,OK,volcanic: interlayered sedimentary and volcanic rocks,Neoproterozoic-Cambrian volcanic: interlayered sedimentary and volcanic rocks,7,3,514.6,1000.0,485.4,742.7,0,0,1,1,0,0,0,0,0,0
34.20573,-84.37492,Rudicil Mine,Past Producer,1,OK,sedimentary,Neoproterozoic-Cambrian sedimentary,7,2,514.6,1000.0,485.4,742.7,0,0,0,1,0,0,0,0,0,0
