dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10022464,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10022464",DE03044,,Andersonville,32.65534,-83.44779,NA,"United States",Georgia,,M,Aluminum,,,Unknown,Residual,U,Unknown,,,,,,"111: Bauxite, laterite type",,,,,"Mosier, Dan",,"Sand and Gravel",,,,,"PATTERSON, S.H., 1967, BAUXITE RESERVES AND POTENTIAL ALUMINUM RESOURCES OF THE WORLD:  USGS BULL. 1228, 176 P.ZAPP, 1964.",,,,,,,,,D
10024974,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10024974",ISM0726,,"Cumberland Island Deposit",30.85021,-81.43313,NA,"United States",Georgia,Camden,M,"Thorium, REE, Zirconium, Titanium",,,Unknown,"Beach Placer",N,Prospect,"Monazite, Zircon, Rutile, Ilmenite",,,,,"121: Shoreline placer Ti",,,,,"Force, Eric R., Cocker, Mark D., Woodruff, Laurel G.","Silver Bluff Shoreline Complex","Sand and Gravel",,,"Shoreline-Complex Sand",,"US BUREAU OF MINES ESTIMATE, UNPUBLISHEDFANTEL, R.J. ET AL, 1986, TITANIUM MINERALS AVAILABILITY - MARKET ECONOMY COUNTRIES. US BREAU OF MINES INFORMATION CIRCULAR 9061.Fantell, R.J., Buckingham, D.A., And Sullivan, D.E., 1985, Titanium Minerals Availability -- Market Economy Countries:  U.S. Bureau Of Mines Information Circular 9061, 48 Pages.Fantell, R.J., Buckingham, D.A., And Sullivan, D.E., 1985, Titanium Minerals Availability -- Market Economy Countries:  U.S. Bureau Of Mines Information Circular 9061, 48 Pages.",,,,,,,,,C
10025003,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10025003",ISM0755,,"Brunswick Deposit",30.85021,-81.46653,NA,"United States",Georgia,Glynn,M,"Titanium, Zirconium",,,Unknown,"Beach Placer",N,Prospect,Ilmenite,,,,,"121: Shoreline placer Ti",,,"Altamaha Plantations",,"Larsen, C., Force, Eric R., Cocker, Mark D., Woodruff, Laurel G.","Princess Anne, Shoreline Complex","Sand and Gravel",,,Sand,,"FANTEL, R.J., BUCKINGHAM, D.A., SULLIVAN, D.E., 1986, TITANIUM MINERALS AVAILAIBITY-MARKET ECONOMY COUNTRIES, A MINERALS AVAILABILITY APPRAISAL: U.S. BUREAU OF MINES INFORMATION CIRCULAR 9061, 48 P.SMITH, J.W., PICKERING, S.M., JR., AND LANDRUM, J.R., 1967, HEAVY-MINERAL-BEARING SAND OF THE COASTAL REGION OF GEORGIA. 68P. ATLANTA, GEORGIA DEPT MINES, MIN, & GEO--PROJECT REPORT, SOUTH GEORGIA MIN PROG. VOL. 8.Smith, J.W., Pickering, S.M., And Landrum, J.R., 1967, Heavy-Mineral-Bearing Sand Of The Coastal Region Of Georgia: Georgia Department Of Mines, Mining And Geology. South Georgia Mining Progress Report 8, 68 P.Smith, J.W., Pickering, S.M., And Landrum, J.R., 1967, Heavy-Mineral-Bearing Sand Of The Coastal Region Of Georgia: Georgia Department Of Mines, Mining And Geology. South Georgia Mining Progress Report 8, 68 P.Fantell, R.J., Buckingham, D.A., And Sullivan, D.E., 1985, Titanium Minerals Availability -- Market Economy Countries:  U.S. Bureau Of Mines Information Circular 9061, 48 Pages.Fantell, R.J., Buckingham, D.A., And Sullivan, D.E., 1985, Titanium Minerals Availability -- Market Economy Countries:  U.S. Bureau Of Mines Information Circular 9061, 48 Pages.This Record Was Compiled For The International Strategic Minerals Inventory. The Data Were Used In Preparation Of The USGS Circular 930 Series Of Reports.",,,,,,1955,,,C
10025005,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10025005",ISM0757,,"Cumberland Island",,,NA,"United States",Georgia,Camden,M,"Zirconium, Titanium",,,Unknown,"Beach Placer",,Prospect,Ilmenite,,,,,"121: Shoreline placer Ti",,,,,"Cocker, Mark D., Force, Eric R., Woodruff, Laurel G.","Silver Bluff Shoreline Complex","Sand and Gravel",,,Sand,,"This Record Was Compiled For The International Strategic Minerals Inventory. The Data Were Used In Preparation Of The USGS Circular 930 Series Of Reports.",,,,,,,,,E
10025912,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10025912",K001889,,"Laurel Creek Olivine Deposit",34.94591,-83.17548,NA,"United States",Georgia,Rabun,B,"Olivine, Vermiculite, Asbestos",,,Unknown,"Mafic Intrusive",N,Producer,"Asbestos, Vermiculite, Olivine",,,,,,Serpentinization,,,,"Fagan, James M., Cocker, Mark D., Woodruff, Laurel G.",,Gneiss,,Granite,"Biotite Schist And Hornblende Gneiss",,"LARRABEE, D.M. AND SWEENEY, J.W., 1968, OLIVINE IN MINERAL RESOURCES OF THE APPALACHIAN REGION: U.S. GEOLOGICAL SURVEY PROF. PAPER 580, P.326-321941 GEOLMAP TENN. VALLEY AUTHORITY, REPORHunter, C.E., 1941, Forsterite Olivine Deposits Of North Carolina And Georgia: Georgia Geological Survey Bulletin 47, 117 Pages. Hunter, C.E., 1941, Forsterite Olivine Deposits Of North Carolina And Georgia: Georgia Geological Survey Bulletin 47, 117 Pages.Larrabee, D.M. And Sweeney, J.W., 1968, Olivine In Mineral Resources Of The Appalachian Region: U.S. Geological Survey Professional Paper 580, P. 326-327.Larrabee, D.M. And Sweeney, J.W., 1968, Olivine In Mineral Resources Of The Appalachian Region: U.S. Geological Survey Professional Paper 580, P. 326-327.HUNTER, C.E., 1941, N.C. DIV. MIN. RES. BULL. 41",,,,,,,,,C
10025913,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10025913",K001890,,"Burton Lake Olivine Deposit",34.87372,-83.57459,NA,"United States",Georgia,Rabun,B,Olivine,,Asbestos,Unknown,"Mafic Intrusive",N,Prospect,"Asbestos, Olivine",Magnetite,,,,,Serpentinization,,,,"Fagan, James M., Cocker, Mark D., Woodruff, Laurel G.",,,,,,,"LARRABEE, D.M. AND SWEENEY, J.W., 1968, OLIVINE IN MINERAL RESOURCES OF THE APPALACHIAN REGION: U.S. GEOLOGICAL SURVEY PROF. PAPER 580, P.326-321941 GEOLMAP TENN. VALLEY AUTHORITY, REPORHunter, C.E., 1941, Forsterite Olivine Deposits Of North Carolina And Georgia: Georgia Geological Survey Bulletin 47, 117 Pages. Hunter, C.E., 1941, Forsterite Olivine Deposits Of North Carolina And Georgia: Georgia Geological Survey Bulletin 47, 117 Pages.Larrabee, D.M. And Sweeney, J.W., 1968, Olivine In Mineral Resources Of The Appalachian Region: U.S. Geological Survey Professional Paper 580, P. 326-327.Larrabee, D.M. And Sweeney, J.W., 1968, Olivine In Mineral Resources Of The Appalachian Region: U.S. Geological Survey Professional Paper 580, P. 326-327.HUNTER, C.E., 1941, N.C. DIV. MIN. RES. BULL. 41",,,,,,,,,D
10055267,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055267",RE00560,,"Gum Creek Pit",32.99046,-83.03738,NA,"United States",Georgia,Baldwin,N,Kaolin,,,Unknown,,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055268,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055268",RE00561,,"Stevens Pottery Pit",32.99046,-83.31099,NA,"United States",Georgia,Baldwin,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,Alluvium,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055269,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055269",RE00562,,"Milledgeville Pit",33.01686,-82.30406,NA,"United States",Georgia,Baldwin,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,Alluvium,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
10055270,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10055270",RE00563,,"Saxon Pit",33.08766,-82.01655,NA,"United States",Georgia,Burke,N,"Sand and Gravel, Construction",,,Unknown,Sedimentary,N,Occurrence,,,,,,,,,,,"Woodruff, Laurel G., Klein, Terry L.",,,,,,,"JOHN HOSTERMAN, CLAY COMMODITY SPECIALIST, USGS, UNPUBLISHED DIGITAL DATAJohn Hosterman, Clay Commodity Specialist, Usgs, Unpublished Digital Data.",,,,,,,,,D
